time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	
0.575	-0.000174397	0.0669256	0.201841	-5.27826e-05	0.000133966	-4.00635e-05	-5.25073e-05	0.0793899	-4.06156e-05	0.0275117	0.0773642	0.254603	0.000295136	0.110072	0.00314851	-0.000134372	-0.403089	-0.00137116	0	0.0750167	0	0	-0.324257	0	
0.6	-0.000174839	0.0686887	0.201839	-4.75588e-05	0.000124189	-3.58085e-05	-5.25696e-05	0.0793939	-4.03556e-05	0.0275184	0.0798375	0.254677	0.000266794	0.0989303	0.00294211	-0.00113367	-0.445674	-0.00825607	0	0.0665072	0	0	-0.356534	0	
0	-0.000174839	0.0686887	0.201839	-4.75588e-05	0.000124189	-3.58085e-05	-5.25696e-05	0.0793939	-4.03556e-05	0.0275184	0.0798375	0.254677	0.000266794	0.0989303	0.00294211	-0.00113367	-0.445674	-0.00825607	0	0.0588313	0	0	-0.394913	0	
0.025	-0.000175286	0.0700359	0.201837	-4.75988e-05	0.00012936	-3.56099e-05	-5.26159e-05	0.079397	-4.01469e-05	0.0275239	0.0817269	0.254738	0.000222407	0.0755767	0.00242925	-0.00177549	-0.934145	-0.0205147	0	0.0496147	0	0	-0.343867	0	
0.05	-0.000175603	0.0711687	0.201836	-4.76312e-05	0.000148249	-3.54383e-05	-5.2654e-05	0.0793996	-3.99652e-05	0.0275289	0.0833138	0.254791	0.000197605	0.0634758	0.00215242	-0.000992076	-0.484035	-0.0110729	0	0.0415703	0	0	-0.300945	0	
0.075	-0.000175874	0.0721138	0.201835	-4.7657e-05	0.000193684	-3.52917e-05	-5.26853e-05	0.0794017	-3.98077e-05	0.0275331	0.084633	0.254839	0.00016856	0.0527683	0.00191538	-0.00116181	-0.428302	-0.00948185	0	0.0345082	0	0	-0.265134	0	
0.1	-0.000176099	0.0728936	0.201833	-4.76767e-05	0.000275844	-3.51684e-05	-5.27106e-05	0.0794035	-3.96721e-05	0.0275366	0.0857136	0.254882	0.000140306	0.043225	0.00171349	-0.00113016	-0.381733	-0.00807563	0	0.0282614	0	0	-0.235588	0	
0.125	-0.00017628	0.0735266	0.201833	-4.76908e-05	0.000401276	-3.50667e-05	-5.27308e-05	0.0794049	-3.9556e-05	0.0275394	0.08658	0.254921	0.00011313	0.0346575	0.00154013	-0.00108701	-0.342699	-0.00693424	0	0.0226824	0	0	-0.211608	0	
0.15	-0.000176692	0.0740282	0.201832	-4.77004e-05	0.000572254	-3.4985e-05	-5.27469e-05	0.079406	-3.94575e-05	0.0275412	0.0872532	0.254955	7.21315e-05	0.0269258	0.00139399	-0.00163996	-0.309266	-0.00584581	0	0.0176394	0	0	-0.192628	0	
0.175	-0.000176793	0.0744094	0.201832	-4.77048e-05	0.000786557	-3.49224e-05	-5.27583e-05	0.0794068	-3.93761e-05	0.0275428	0.0877489	0.254986	6.27701e-05	0.0198303	0.00124184	-0.000374457	-0.283823	-0.00608581	0	0.0130131	0	0	-0.1782	0	
0.2	-0.000176856	0.0746795	0.201831	-4.7705e-05	0.0010377	-3.48776e-05	-5.27659e-05	0.0794073	-3.93108e-05	0.0275438	0.0880816	0.255014	3.98132e-05	0.013305	0.001096	-0.000918275	-0.261011	-0.00583375	0	0.00869434	0	0	-0.167982	0	
0.225	-0.000176885	0.074845	0.201831	-4.77015e-05	0.00131555	-3.48497e-05	-5.277e-05	0.0794076	-3.92615e-05	0.0275443	0.0882618	0.255037	1.83325e-05	0.00721092	0.000939233	-0.00085923	-0.243762	-0.00627056	0	0.00458099	0	0	-0.161733	0	
