R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	
-3.56044	6.40275	-0.0135211	-5.75824	4.79121	-4.36703	6.02198	-0.0137187	-5.67418	4.77033	-360.46	234.03	8.07	0	-118.36	-180.23	-29.59	-10.76	
-3.56044	6.49066	-0.0135211	-5.75824	4.79121	-4.45495	6.02198	-0.0136929	-5.67418	4.68242	-357.77	225.96	29.59	0	-80.7	-172.16	-26.9	-2.69	
-3.56044	6.49066	-0.0135039	-5.67033	4.79121	-4.36703	6.02198	-0.013607	-5.58626	4.68242	-322.8	223.27	26.9	64.56	-13.45	-172.16	-26.9	24.21	
-3.56044	6.40275	-0.0133751	-5.67033	4.61538	-4.36703	6.02198	-0.0134438	-5.67418	4.68242	-244.79	231.34	0	56.49	29.59	-172.16	-21.52	16.14	
-3.56044	6.49066	-0.0131517	-5.75824	4.43956	-4.36703	6.10989	-0.013272	-5.58626	4.33077	-121.05	236.72	59.18	72.63	37.66	-169.47	-8.07	26.9	
-3.47253	6.49066	-0.0129456	-5.75824	3.91209	-4.1033	6.02198	-0.0130487	-5.67418	3.89121	-83.39	228.65	24.21	61.87	145.26	-169.47	-5.38	16.14	
-3.03297	6.49066	-0.0127566	-5.67033	3.38462	-3.66374	6.10989	-0.012894	-5.67418	3.27582	-40.35	223.27	48.42	64.56	193.68	-174.85	-16.14	43.04	
-2.50549	6.40275	-0.0125161	-5.67033	2.59341	-3.13626	6.02198	-0.0126277	-5.67418	2.48462	0	231.34	48.42	34.97	196.37	-172.16	-24.21	26.9	
-1.89011	6.49066	-0.0123786	-5.75824	1.8022	-2.52088	6.02198	-0.0124903	-5.67418	1.60549	0	220.58	53.8	21.52	231.34	-172.16	-18.83	37.66	
-1.0989	6.40275	-0.0123357	-5.75824	0.835165	-1.55385	6.10989	-0.0124473	-5.58626	0.726374	13.45	225.96	29.59	18.83	263.62	-169.47	-24.21	40.35	
-0.21978	6.40275	-0.0123443	-5.67033	-0.131868	-0.762637	6.10989	-0.0124731	-5.67418	-0.240659	56.49	220.58	34.97	13.45	258.24	-172.16	-13.45	37.66	
0.747253	6.49066	-0.0124989	-5.75824	-1.0989	0.204396	6.02198	-0.0126793	-5.67418	-1.11978	61.87	217.89	21.52	0	252.86	-172.16	-10.76	48.42	
