R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	
4.87912	5.69945	-0.0131861	-5.58242	-5.05495	4.6	5.40659	-0.0140623	-5.49835	-5.16374	-928.05	271.69	-24.21	-1737.74	336.25	279.76	252.86	266.31	
4.61538	5.69945	-0.0131002	-5.58242	-4.87912	4.33626	5.40659	-0.0137445	-5.49835	-4.63626	-1509.09	260.93	-61.87	-2184.28	190.99	277.07	414.26	-594.49	
4.17582	5.69945	-0.012894	-5.67033	-4.43956	3.8967	5.40659	-0.0134696	-5.41044	-4.10879	-1447.22	269	-67.25	-2071.3	64.56	368.53	169.47	-239.41	
3.64835	5.69945	-0.0126793	-5.58242	-3.91209	3.45714	5.40659	-0.0133321	-5.41044	-3.40549	-1156.7	279.76	104.91	-1923.35	252.86	287.83	177.54	-123.74	
3.03297	5.69945	-0.012559	-5.67033	-3.03297	2.66593	5.40659	-0.0129885	-5.49835	-2.7022	-1027.58	282.45	166.78	-1724.29	188.3	322.8	177.54	-492.27	
2.06593	5.69945	-0.0124817	-5.67033	-2.24176	1.87473	5.40659	-0.0127308	-5.41044	-1.91099	-906.53	295.9	166.78	-1428.39	266.31	306.66	10.76	-535.31	
1.0989	5.69945	-0.0124302	-5.67033	-1.0989	0.907692	5.40659	-0.0124216	-5.49835	-0.943956	-1059.86	301.28	150.64	-1167.46	352.39	306.66	67.25	196.37	
0.131868	5.69945	-0.0125332	-5.67033	-0.043956	-0.147253	5.40659	-0.0121982	-5.49835	0.198901	-761.27	309.35	193.68	-371.22	295.9	290.52	29.59	161.4	
-0.835165	5.69945	-0.012748	-5.67033	1.01099	-1.11429	5.40659	-0.0120865	-5.49835	1.16593	-494.96	320.11	145.26	-330.87	527.24	290.52	10.76	462.68	
-1.89011	5.69945	-0.0130057	-5.67033	2.15385	-1.99341	5.40659	-0.0121724	-5.41044	2.13297	-489.58	317.42	-10.76	-317.42	634.84	277.07	61.87	946.88	
-2.68132	5.69945	-0.0132462	-5.49451	2.85714	-2.87253	5.49451	-0.0122498	-5.41044	3.01209	-503.03	290.52	-45.73	-13.45	852.73	26.9	51.11	825.83	
-3.38462	5.61154	-0.013461	-5.58242	3.56044	-3.57582	5.49451	-0.0124216	-5.41044	3.71538	-459.99	188.3	-204.44	-129.12	965.71	-10.76	134.5	976.47	
-3.91209	5.61154	-0.0136672	-5.58242	4	-4.1033	5.58242	-0.0126965	-5.41044	4.15495	-747.82	123.74	-188.3	190.99	336.25	86.08	274.38	554.14	
-4.26374	5.61154	-0.0138561	-5.58242	4.52747	-4.45495	5.49451	-0.0130658	-5.41044	4.59451	8.07	51.11	-134.5	-32.28	863.49	-83.39	274.38	1299.27	
-4.61538	5.61154	-0.0139592	-5.58242	4.79121	-4.71868	5.58242	-0.0131947	-5.41044	4.77033	-492.27	51.11	-139.88	-118.36	841.97	-45.73	279.76	1006.06	
-4.79121	5.61154	-0.0139936	-5.49451	4.79121	-4.89451	5.49451	-0.013315	-5.41044	5.03407	56.49	51.11	-110.29	153.33	815.07	-121.05	282.45	1210.5	
-4.87912	5.61154	-0.0139936	-5.49451	4.87912	-4.98242	5.49451	-0.0133407	-5.41044	5.03407	-365.84	51.11	-298.59	228.65	728.99	-83.39	279.76	1213.19	
-4.79121	5.61154	-0.0139506	-5.49451	4.79121	-4.89451	5.58242	-0.0133407	-5.41044	4.94615	-476.13	51.11	-295.9	629.46	1197.05	-99.53	277.07	1199.74	
-4.7033	5.61154	-0.013796	-5.49451	4.52747	-4.80659	5.49451	-0.0133493	-5.41044	4.85824	-271.69	48.42	-381.98	521.86	737.06	-112.98	320.11	1468.74	
-4.43956	5.61154	-0.0135641	-5.49451	4.43956	-4.54286	5.58242	-0.013272	-5.41044	4.59451	-199.06	51.11	-320.11	-5.38	785.48	-37.66	277.07	1159.39	
-4	5.61154	-0.0133321	-5.49451	3.91209	-4.1033	5.58242	-0.0131517	-5.41044	4.06703	-185.61	51.11	-376.6	53.8	1078.69	-51.11	279.76	1226.64	
-3.47253	5.61154	-0.0130572	-5.49451	3.38462	-3.57582	5.49451	-0.0129885	-5.41044	3.53956	-352.39	48.42	-411.57	-223.27	1215.88	-107.6	274.38	1202.43	
-2.85714	5.61154	-0.012748	-5.40659	2.68132	-2.87253	5.58242	-0.0127308	-5.41044	2.74835	-223.27	51.11	-360.46	190.99	1148.63	-99.53	16.14	731.68	
-1.97802	5.61154	-0.0124731	-5.49451	1.8022	-1.99341	5.58242	-0.0125848	-5.58626	1.78132	-91.46	51.11	-158.71	-373.91	887.7	-51.11	-24.21	629.46	
-1.18681	5.61154	-0.0123528	-5.58242	0.923077	-1.02637	5.49451	-0.0125246	-5.58626	0.902198	-102.22	45.73	-75.32	-188.3	812.38	-18.83	-279.76	454.61	
-0.043956	5.61154	-0.0122669	-5.58242	0.043956	-0.0593407	5.49451	-0.0125161	-5.58626	-0.0648352	-285.14	48.42	72.63	-500.34	987.23	-67.25	-465.37	626.77	
0.923077	5.61154	-0.0123099	-5.67033	-1.0989	0.907692	5.49451	-0.0125676	-5.67418	-1.11978	-277.07	48.42	-115.67	-416.95	688.64	-26.9	-546.07	252.86	
1.8022	5.61154	-0.0124387	-5.58242	-2.06593	1.96264	5.58242	-0.0126879	-5.67418	-2.08681	-271.69	48.42	37.66	-390.05	290.52	-16.14	-419.64	69.94	
2.59341	5.61154	-0.0126621	-5.67033	-2.85714	2.66593	5.49451	-0.0130487	-5.67418	-2.87802	-494.96	0	0	-468.06	680.57	-56.49	-371.22	78.01	
3.38462	5.61154	-0.0128768	-5.49451	-3.38462	3.45714	5.49451	-0.0132376	-5.58626	-3.40549	-513.79	37.66	0	-809.69	422.33	-56.49	-285.14	-408.88	
3.82418	5.61154	-0.0130229	-5.58242	-4.08791	3.8967	5.49451	-0.0134868	-5.49835	-4.10879	-599.87	-43.04	-166.78	-642.91	572.97	-13.45	-156.02	-126.43	
4.35165	5.61154	-0.0132033	-5.58242	-4.52747	4.24835	5.49451	-0.0138476	-5.41044	-4.54835	-56.49	43.04	-255.55	-667.12	616.01	-48.42	72.63	126.43	
4.61538	5.61154	-0.0132978	-5.49451	-4.79121	4.6	5.49451	-0.0139249	-5.41044	-4.72418	-710.16	10.76	-360.46	-890.39	1041.03	-115.67	260.93	-357.77	
4.79121	5.61154	-0.0133579	-5.49451	-4.96703	4.77582	5.49451	-0.0140365	-5.41044	-4.9	-901.15	29.59	-357.77	-997.99	529.93	-21.52	298.59	223.27	
4.96703	5.61154	-0.0133751	-5.49451	-4.96703	4.77582	5.58242	-0.0140451	-5.41044	-4.9	-591.8	48.42	-433.09	-1057.17	527.24	-88.77	298.59	-16.14	
4.96703	5.61154	-0.0133665	-5.49451	-5.05495	4.77582	5.49451	-0.0140194	-5.41044	-4.9	-586.42	-2.69	-435.78	-1215.88	481.51	-13.45	285.14	255.55	
4.79121	5.61154	-0.0133321	-5.49451	-4.96703	4.6	5.49451	-0.0139335	-5.41044	-4.72418	-575.66	48.42	-497.65	-995.3	457.3	-24.21	285.14	129.12	
4.52747	5.52363	-0.0132291	-5.49451	-4.7033	4.33626	5.49451	-0.0137187	-5.41044	-4.46044	-1148.63	0	-400.81	-1651.66	400.81	-59.18	285.14	-282.45	
