L_C_roll	L_A_roll	L_Linear	
-8.65934	8.65934	-0.018555	
-8.57143	8.57143	-0.018555	
-8.57143	8.57143	-0.0183489	
-8.3956	8.30769	-0.0183489	
-8.13187	8.04396	-0.0184863	
-7.86813	7.86813	-0.0184176	
-7.78022	7.69231	-0.0184863	
-7.42857	7.34066	-0.0184176	
-7.16484	7.07692	-0.0184176	
-6.81319	6.72527	-0.018555	
-6.54945	6.46154	-0.0183489	
-6.10989	6.02198	-0.0182114	
-5.58242	5.49451	-0.0181427	
-5.05495	4.87912	-0.017318	
-4.35165	4.26374	-0.0165621	
-3.64835	3.56044	-0.0162872	
-3.03297	2.94505	-0.016081	
-2.68132	2.59341	-0.016081	
-2.15385	2.15385	-0.0160123	
-1.89011	1.8022	-0.0157374	
-1.45055	1.45055	-0.0151189	
-1.01099	0.923077	-0.0141568	
-0.483516	0.395604	-0.0131947	
0.131868	-0.131868	-0.0121639	
0.571429	-0.571429	-0.0109269	
0.923077	-0.923077	-0.00941496	
1.0989	-1.0989	-0.00776562	
1.36264	-1.36264	-0.00570395	
1.62637	-1.62637	-0.00336739	
1.8022	-1.89011	-0.000412334	
1.97802	-2.06593	0.00144317	
2.24176	-2.32967	0.00336739	
2.50549	-2.50549	0.00639118	
3.03297	-3.12088	0.00859029	
3.38462	-3.47253	0.0107207	
3.64835	-3.64835	0.0127136	
3.82418	-3.82418	0.0140881	
3.91209	-3.91209	0.0159436	
3.91209	-3.91209	0.0178678	
4	-4	0.0192423	
4	-4.08791	0.0209603	
4.08791	-4.08791	0.0232282	
4.08791	-4.08791	0.0241903	
4.08791	-4.08791	0.0248088	
4.08791	-4.17582	0.0248088	
4.08791	-4.08791	0.0239154	
4.08791	-4.08791	0.0231594	
4.08791	-4	0.023022	
4	-4	0.0220599	
3.91209	-3.91209	0.0204105	
3.91209	-3.91209	0.0184176	
3.82418	-3.82418	0.0159436	
3.73626	-3.73626	0.0134696	
3.56044	-3.56044	0.0102396	
3.47253	-3.47253	0.00783435	
3.2967	-3.20879	0.00618501	
2.94505	-2.94505	0.00329867	
2.59341	-2.59341	0.000755946	
