time	COG_x	COG_y	COG_z	COG_xx	COG_yy	COG_zz	p_x	p_y	p_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	
0.75	-0.000182477	0.0539027	0.227531	-0.000182477	0.0539027	0.227531	0	0	0	0.0300433	0.0620473	0.311162	-0.0179264	0.154119	0.00632426	-0.763458	-2.26884	0.502268	-0.0165973	0.103593	0.0016191	-0.693841	-1.55076	0.34119	
0.775	0.000186594	0.0561896	0.22746	0.000186594	0.0561896	0.22746	0	0	0	0.0305562	0.0654129	0.311105	0.0205162	0.134623	-0.00227519	1.5377	-0.779845	-0.343978	0.0147629	0.0914763	-0.00283915	1.25441	-0.484676	-0.17833	
0.8	-0.000157732	0.0584226	0.227284	-0.000157732	0.0584226	0.227284	0	0	0	0.0301027	0.068794	0.311084	-0.0181383	0.135243	-0.000820825	-1.54618	0.024812	0.0581746	-0.013773	0.089322	-0.00706397	-1.14144	-0.0861712	-0.168993	
0.825	0.000118346	0.0595156	0.226869	0.000118346	0.0595156	0.226869	-0.000278168	0.07234	-8.68138e-05	0.0305501	0.0701698	0.310429	0.0178957	0.0550336	-0.0262147	1.44136	-3.20838	-1.01576	0.0110431	0.0437178	-0.0165885	0.992646	-1.82417	-0.380982	
0.85	-0.000840409	0.0606685	0.226917	-0.00056224	-0.0116715	0.227004	-0.000278168	0.07234	-8.68138e-05	0.0293	0.071882	0.310203	-0.050003	0.0684887	-0.00901481	-2.71595	0.538203	0.687996	-0.0383502	0.0461176	0.0019367	-1.97573	0.0959935	0.741009	
0.875	-0.000757905	0.061974	0.226783	-0.000479737	-0.010366	0.22687	-0.000278168	0.07234	-8.68138e-05	0.0292594	0.0737346	0.309552	-0.00162673	0.0741043	-0.0260404	1.93505	0.224624	-0.681024	0.00330014	0.0522185	-0.00538729	1.66601	0.244035	-0.29296	
0.9	-0.00110826	0.0629561	0.226798	-0.000830096	-0.00938394	0.226884	-0.000278168	0.07234	-8.68138e-05	0.0287458	0.0751016	0.308908	-0.0205419	0.0546766	-0.0257615	-0.756607	-0.777105	0.0111552	-0.0140144	0.0392833	0.000593617	-0.69258	-0.517408	0.239236	
0.925	-0.000758209	0.0632843	0.226622	-0.000480041	-0.00905574	0.226708	-0.000278168	0.07234	-8.68138e-05	0.029162	0.0754978	0.308059	0.0166466	0.0158496	-0.0339833	1.48754	-1.55308	-0.328871	0.0140022	0.0131282	-0.00703674	1.12066	-1.0462	-0.305214	
0.95	-0.00109226	0.0636017	0.226638	-0.000814091	-0.0087383	0.226725	-0.000278168	0.07234	-8.68138e-05	0.0286474	0.0759159	0.307507	-0.0205851	0.0167256	-0.0220759	-1.48927	0.0350411	0.476297	-0.013362	0.0126973	0.000665913	-1.09457	-0.0172382	0.308106	
0.975	-0.000736583	0.0635986	0.226729	-0.000458414	-0.00874141	0.226816	-0.000278168	0.07234	-8.68138e-05	0.0291003	0.0758894	0.307239	0.0181194	-0.00106051	-0.0107123	1.54818	-0.711445	0.454543	0.014227	-0.000124157	0.00363132	1.10356	-0.512858	0.118616	
1	-0.000736235	0.0636001	0.226747	-0.000458067	-0.00873987	0.226834	-0.000278168	0.07234	-8.68138e-05	0.0290955	0.0758831	0.307188	-0.000194394	-0.000255253	-0.00203655	-0.732551	0.0322104	0.347031	1.38979e-05	6.1553e-05	0.000727416	-0.568526	0.00742839	-0.116156	
1.025	-0.000737061	0.0636228	0.226773	-0.000458893	-0.00871717	0.226859	-0.000278168	0.07234	-8.68138e-05	0.0291114	0.075904	0.307412	0.00063832	0.000837944	0.00893654	0.0333086	0.0437279	0.438924	-3.3035e-05	0.000908056	0.00101754	-0.00187732	0.0338601	0.011605	
1.05	-0.000754054	0.0637417	0.22651	-0.000475885	-0.00859828	0.226597	-0.000278168	0.07234	-8.68138e-05	0.0291301	0.0759285	0.307607	0.000745178	0.000978468	0.00780678	0.00427431	0.00562097	-0.0451905	-0.000679695	0.00475543	-0.0104982	-0.0258664	0.153895	-0.46063	
1.075	-0.000831505	0.0624405	0.226352	-0.000553337	-0.0098995	0.226439	-0.000278168	0.07234	-8.68138e-05	0.0291422	0.0740632	0.307934	0.00048649	-0.0746114	0.0130964	-0.0103475	-3.0236	0.211584	-0.00309808	-0.0520487	-0.0063264	-0.0967354	-2.27216	0.166872	
1.1	-0.000552493	0.0621568	0.226594	-0.000274324	-0.0101832	0.226681	-0.000278168	0.07234	-8.68138e-05	0.0296923	0.0736822	0.308831	0.0220033	-0.0152395	0.0358695	0.860671	2.37488	0.910923	0.0111605	-0.0113498	0.00967818	0.570343	1.62795	0.640183	
1.125	-0.00048576	0.0613399	0.227237	-0.000207592	-0.0110001	0.227324	-0.000278168	0.07234	-8.68138e-05	0.0298083	0.0724013	0.310315	0.00464101	-0.0512338	0.059349	-0.69449	-1.43977	0.939183	0.00266931	-0.0326759	0.0257305	-0.339648	-0.853042	0.642092	
