time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	COG_Vx	COG_Vy	BODY_x	BODY_y	BODY_z	
0.325	0.16528	0.0267422	0.222587	0.19295	-0.00583462	7.90222e-07	0.121087	0.0750561	-1.05551e-06	0.115661	-0.101824	0.173333	0.0234207	0.280493
0.35	0.168121	0.0242495	0.222586	0.192957	-0.00584008	5.43035e-07	0.121095	0.0750501	-1.07419e-06	0.112539	-0.0983951	0.177303	0.0199661	0.280501
0.375	0.170872	0.0218544	0.222584	0.192963	-0.00584533	3.48973e-07	0.121102	0.0750442	-1.04269e-06	0.108434	-0.0939874	0.18115	0.0166453	0.280526
0.4	0.173508	0.0195811	0.222583	0.192969	-0.0058503	2.04173e-07	0.121108	0.0750387	-9.6762e-07	0.103342	-0.0886005	0.18484	0.0134917	0.280565
0.425	0.176006	0.0174541	0.222581	0.192975	-0.00585496	1.03649e-07	0.121115	0.0750335	-8.56772e-07	0.0972601	-0.0822343	0.188339	0.010539	0.280615
0.45	0.178339	0.0154977	0.222579	0.19298	-0.00585925	4.07359e-08	0.121121	0.0750287	-7.19802e-07	0.0901839	-0.0748889	0.191611	0.00782098	0.280673
0.475	0.180484	0.0137363	0.222577	0.192985	-0.00586311	8.57999e-09	0.121126	0.0750244	-5.6654e-07	0.0821104	-0.0665644	0.194623	0.00537178	0.280736
0.5	0.182416	0.0121943	0.222574	0.19299	-0.00586649	-3.55933e-10	0.121131	0.0750206	-4.0755e-07	0.073036	-0.0572606	0.197337	0.00322564	0.280798
0	0.182416	0.0121943	0.222574	0.19299	-0.00586649	-3.55933e-10	0.121131	0.0750206	-4.0755e-07	0.0683568	-0.0572764	0.197337	0.00322564	0.280798
0.025	0.183995	0.0108856	0.222575	0.192993	-0.00586935	-2.02021e-07	0.121224	0.0750176	0.000390348	0.0588768	-0.0481491	0.199528	0.00141106	0.280726
0.05	0.185359	0.00978871	0.222579	0.192996	-0.00587172	-8.04024e-07	0.121836	0.0750162	0.00152405	0.0508437	-0.0402051	0.201285	-9.26447e-05	0.280394
